Timestamp,Model,FID_Mean,FID_Std,KID_Mean,KID_Std
2026-04-18 16:55:00,GAN,207.0320,0.6000,0.1321,0.0016
2026-04-20 15:44:13,GAN,results\gan\20260420_152750_20ep_lr0.0002_bs64,209.2193,1.1700,0.1445,0.0018
